orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.727,0.967,0.739,0.257
0.901,1.0,0.444,0.0
0.927,0.944,0.382,0.334
0.964,0.992,0.267,0.124
0.95,0.998,0.317,0.065
0.966,0.995,0.26,0.096
0.897,0.998,0.453,0.067
0.963,0.997,0.272,0.075
0.944,0.937,0.336,0.356
0.97,0.996,0.247,0.087
0.803,0.798,0.628,0.635
0.927,0.988,0.381,0.152
0.974,0.994,0.229,0.114
0.883,0.989,0.484,0.147
0.901,0.997,0.444,0.079
0.985,0.797,0.174,0.637
0.922,1.0,0.395,0.0
0.942,0.999,0.34,0.036
0.942,0.995,0.341,0.098
0.859,0.826,0.531,0.59
