orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.981,0.998,0.194,0.065
0.964,0.999,0.267,0.048
0.96,1.0,0.282,0.011
0.98,0.994,0.201,0.11
0.911,0.898,0.422,0.453
0.958,0.947,0.29,0.325
0.785,1.0,0.656,0.0
0.961,0.993,0.278,0.121
0.972,1.0,0.236,0.027
0.876,0.999,0.498,0.048
0.974,0.996,0.23,0.084
0.765,0.821,0.685,0.599
0.935,0.993,0.36,0.117
0.896,0.994,0.457,0.107
0.938,0.999,0.351,0.047
0.916,0.998,0.411,0.061
0.899,0.996,0.45,0.092
0.941,0.998,0.342,0.069
0.954,0.995,0.303,0.095
