orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.947,0.742,0.324,0.718
0.943,0.982,0.338,0.187
0.744,0.736,0.716,0.726
0.958,0.996,0.291,0.091
0.919,0.989,0.403,0.147
0.961,0.898,0.278,0.452
0.977,0.922,0.215,0.394
0.95,0.982,0.316,0.188
0.923,0.782,0.393,0.66
0.929,0.99,0.377,0.139
0.975,0.997,0.223,0.076
0.832,0.97,0.58,0.243
0.96,0.996,0.284,0.087
0.957,0.992,0.295,0.124
0.784,0.996,0.657,0.092
0.762,0.755,0.69,0.701
0.943,0.993,0.336,0.122
0.746,0.698,0.712,0.778
0.804,0.715,0.625,0.755
0.834,1.0,0.576,0.0
