orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.97,0.985,0.246,0.173
0.931,0.983,0.371,0.182
0.923,0.997,0.393,0.082
0.829,0.827,0.584,0.588
0.94,0.996,0.347,0.084
0.973,0.998,0.233,0.063
0.961,0.995,0.279,0.095
0.948,0.994,0.323,0.108
0.861,0.714,0.527,0.756
0.896,0.998,0.456,0.066
0.895,1.0,0.459,0.0
0.899,0.895,0.449,0.459
0.974,0.997,0.229,0.081
0.889,0.997,0.472,0.071
0.973,0.993,0.233,0.115
0.96,0.995,0.283,0.103
0.835,0.998,0.574,0.063
0.925,0.995,0.388,0.102
0.736,0.717,0.726,0.752
0.951,0.923,0.312,0.392
