orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.749,0.996,0.708,0.087
0.819,1.0,0.602,0.0
0.861,0.998,0.526,0.057
0.748,0.733,0.71,0.731
0.957,0.991,0.293,0.136
0.939,0.994,0.348,0.114
0.841,0.999,0.564,0.047
0.958,0.998,0.291,0.068
0.963,0.943,0.272,0.338
0.802,0.791,0.629,0.647
0.66,0.835,0.825,0.574
0.892,1.0,0.464,0.0
0.829,0.998,0.584,0.068
0.951,0.997,0.314,0.078
0.944,0.983,0.336,0.182
0.963,0.998,0.271,0.07
0.95,0.998,0.317,0.07
0.965,0.994,0.266,0.112
0.935,0.865,0.36,0.52
0.939,0.919,0.348,0.402
