orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.92,0.994,0.4,0.11
0.752,0.905,0.704,0.436
0.889,0.808,0.472,0.62
0.278,0.289,1.202,1.193
0.823,0.996,0.595,0.095
0.885,0.995,0.48,0.103
0.323,0.979,1.164,0.203
0.948,0.999,0.322,0.048
0.957,0.998,0.293,0.064
0.952,0.999,0.309,0.054
0.853,1.0,0.542,0.0
0.885,0.786,0.479,0.654
0.778,1.0,0.666,0.0
0.789,0.747,0.649,0.711
0.86,1.0,0.528,0.0
0.939,0.999,0.35,0.052
0.883,0.857,0.485,0.535
0.813,0.988,0.612,0.157
0.912,0.997,0.42,0.08
0.84,0.992,0.566,0.129
