orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.925,0.917,0.388,0.406
0.948,0.992,0.324,0.128
0.964,0.992,0.267,0.125
0.961,0.987,0.278,0.161
0.949,0.995,0.321,0.095
0.916,0.993,0.409,0.116
0.96,0.988,0.282,0.153
0.887,0.991,0.474,0.136
0.896,0.996,0.455,0.084
0.977,0.98,0.215,0.198
0.911,0.998,0.422,0.068
0.942,0.975,0.34,0.224
0.983,0.999,0.184,0.054
0.938,0.929,0.353,0.377
0.877,0.993,0.497,0.118
0.904,0.996,0.439,0.09
0.857,0.948,0.535,0.322
0.96,0.995,0.284,0.095
0.968,0.994,0.253,0.109
0.947,0.998,0.327,0.069
