orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.467,0.508,1.032,0.992
0.709,1.0,0.762,0.0
0.883,0.982,0.485,0.188
0.744,0.861,0.716,0.528
0.797,0.325,0.636,1.162
0.549,0.82,0.95,0.6
0.855,0.948,0.539,0.324
0.267,1.0,1.211,0.0
0.314,0.471,1.171,1.029
0.261,0.302,1.215,1.181
0.794,0.39,0.641,1.104
0.149,0.212,1.305,1.256
0.782,0.924,0.661,0.39
0.198,0.919,1.266,0.402
0.196,0.188,1.268,1.274
0.655,0.58,0.831,0.917
0.561,0.976,0.937,0.22
0.738,0.989,0.724,0.146
0.868,0.981,0.513,0.193
0.075,0.985,1.36,0.173
