orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.812,0.988,0.614,0.152
0.536,0.489,0.963,1.011
0.871,0.98,0.509,0.2
0.314,0.79,1.171,0.649
0.461,0.451,1.038,1.048
0.639,0.866,0.849,0.518
0.327,0.498,1.16,1.002
0.519,0.531,0.981,0.968
0.824,0.975,0.593,0.224
0.484,1.0,1.016,0.0
0.762,0.99,0.69,0.143
0.61,0.281,0.883,1.199
0.432,1.0,1.065,0.0
0.8,0.977,0.633,0.214
0.816,0.963,0.607,0.271
0.83,0.494,0.584,1.006
0.221,0.2,1.248,1.265
0.716,0.298,0.753,1.185
0.152,0.975,1.302,0.223
0.46,0.455,1.04,1.044
