orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.641,0.448,0.847,1.051
0.913,0.934,0.417,0.363
0.89,0.869,0.468,0.512
0.427,0.963,1.07,0.274
0.268,0.991,1.21,0.135
0.315,0.984,1.171,0.179
0.207,0.147,1.26,1.307
0.893,0.995,0.463,0.103
0.825,0.977,0.592,0.215
0.891,0.998,0.466,0.061
0.751,0.944,0.705,0.336
0.608,0.492,0.885,1.008
0.751,0.954,0.706,0.305
0.207,0.985,1.259,0.172
0.566,0.449,0.932,1.05
0.824,0.92,0.594,0.4
0.829,0.892,0.585,0.465
0.61,0.578,0.883,0.919
0.779,0.954,0.665,0.304
0.725,0.501,0.742,0.999
