orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.077,0.49,1.358,1.01
0.373,0.413,1.12,1.084
0.836,0.989,0.572,0.151
0.889,0.992,0.472,0.127
0.875,0.993,0.499,0.116
0.912,0.979,0.419,0.203
0.573,0.971,0.924,0.24
0.865,0.972,0.52,0.235
0.809,0.807,0.618,0.622
0.682,0.965,0.797,0.263
0.863,0.683,0.524,0.797
0.605,0.903,0.888,0.441
0.808,0.924,0.62,0.39
0.485,0.925,1.015,0.387
0.741,0.955,0.719,0.3
0.749,0.472,0.709,1.028
0.551,0.651,0.947,0.836
0.903,0.99,0.441,0.138
0.783,0.948,0.659,0.322
0.389,0.336,1.105,1.152
