orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.822,0.986,0.596,0.17
0.847,0.515,0.553,0.985
0.911,0.589,0.423,0.906
0.827,0.982,0.588,0.189
0.876,0.554,0.498,0.944
0.683,0.707,0.797,0.766
0.884,0.124,0.481,1.323
0.871,0.975,0.509,0.226
0.796,0.988,0.638,0.155
0.778,0.994,0.666,0.113
0.685,0.984,0.794,0.179
0.05,0.275,1.378,1.204
0.617,0.938,0.876,0.353
0.757,0.933,0.697,0.367
0.511,0.445,0.989,1.053
0.744,0.988,0.715,0.154
0.675,0.971,0.806,0.242
0.576,0.985,0.921,0.174
0.566,0.982,0.932,0.187
0.661,0.879,0.823,0.492
