orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.857,0.337,0.535,1.151
0.688,0.916,0.789,0.41
0.869,1.0,0.511,0.0
0.611,0.977,0.882,0.217
0.571,0.445,0.926,1.054
0.679,0.8,0.801,0.632
0.782,0.587,0.66,0.908
0.602,0.853,0.892,0.542
0.362,1.0,1.129,0.0
0.76,0.912,0.692,0.419
0.861,0.97,0.527,0.244
0.804,0.245,0.626,1.229
0.879,0.995,0.492,0.1
0.763,0.979,0.688,0.204
0.306,0.343,1.178,1.146
0.305,0.262,1.179,1.215
0.765,0.921,0.685,0.398
0.248,1.0,1.226,0.0
0.904,0.841,0.439,0.564
0.407,0.333,1.089,1.155
