orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.939,0.948,0.349,0.321
0.917,0.644,0.408,0.844
0.609,0.65,0.884,0.837
0.85,0.985,0.548,0.172
0.692,0.983,0.785,0.183
0.849,0.983,0.549,0.186
0.708,0.961,0.764,0.281
0.648,0.985,0.839,0.174
0.134,0.267,1.316,1.211
0.656,0.636,0.829,0.853
0.247,0.236,1.227,1.236
0.685,0.323,0.794,1.163
0.912,0.971,0.419,0.242
0.477,0.981,1.022,0.196
0.873,0.959,0.505,0.287
0.617,0.969,0.875,0.251
0.919,0.983,0.402,0.183
0.803,0.953,0.628,0.306
0.644,0.256,0.844,1.22
0.631,0.974,0.859,0.226
