orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.384,1.0,1.11,0.0
0.502,0.173,0.998,1.286
0.65,0.991,0.836,0.135
0.751,0.174,0.705,1.285
0.843,0.953,0.56,0.307
0.813,0.773,0.611,0.674
0.274,0.997,1.205,0.074
0.928,0.979,0.379,0.206
0.902,1.0,0.444,0.0
0.211,0.2,1.256,1.265
0.743,0.424,0.717,1.073
0.733,0.38,0.731,1.113
0.861,0.45,0.527,1.049
0.856,0.955,0.537,0.302
0.818,0.957,0.603,0.294
0.785,0.996,0.656,0.089
0.779,0.965,0.666,0.265
0.797,0.902,0.638,0.442
0.468,0.964,1.031,0.269
0.799,0.525,0.635,0.974
