orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.667,0.985,0.817,0.174
0.359,0.121,1.132,1.326
0.56,0.863,0.938,0.524
0.85,1.0,0.548,0.0
0.444,0.133,1.054,1.317
0.738,0.955,0.724,0.299
0.829,0.569,0.585,0.929
0.717,0.988,0.753,0.155
0.924,0.959,0.389,0.287
0.93,0.991,0.374,0.136
0.347,0.521,1.143,0.979
0.708,1.0,0.764,0.0
0.513,0.373,0.987,1.12
0.371,0.362,1.122,1.129
0.864,0.933,0.521,0.365
0.53,0.528,0.969,0.972
0.873,0.128,0.505,1.321
0.386,0.936,1.108,0.359
0.618,0.961,0.874,0.279
0.352,0.96,1.138,0.284
