orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.421,0.897,1.076,0.453
0.546,0.303,0.953,1.18
0.682,0.969,0.798,0.249
0.792,0.862,0.645,0.526
0.402,0.862,1.094,0.526
0.587,0.937,0.909,0.356
0.845,0.942,0.557,0.339
0.764,0.266,0.686,1.212
0.444,0.906,1.055,0.434
0.91,0.426,0.423,1.072
0.366,0.306,1.126,1.178
0.377,0.288,1.116,1.194
0.855,0.95,0.538,0.317
0.723,1.0,0.744,0.0
0.805,0.986,0.625,0.17
0.499,0.939,1.001,0.348
0.8,0.979,0.633,0.203
0.672,0.977,0.811,0.217
0.923,0.949,0.392,0.321
0.205,0.357,1.261,1.134
