orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.906,0.989,0.435,0.151
0.682,0.692,0.798,0.785
0.893,0.88,0.462,0.489
0.843,0.604,0.56,0.89
0.654,1.0,0.831,0.002
0.796,0.825,0.639,0.592
0.527,0.607,0.973,0.887
0.92,0.739,0.4,0.722
0.886,0.978,0.478,0.208
0.692,0.403,0.784,1.093
0.677,0.981,0.804,0.193
0.612,0.321,0.881,1.165
0.504,0.502,0.996,0.998
0.584,0.929,0.912,0.376
0.881,0.863,0.489,0.522
0.907,0.571,0.431,0.926
0.385,0.336,1.109,1.152
0.611,0.607,0.882,0.887
0.3,0.938,1.183,0.353
0.958,0.564,0.29,0.933
