orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.828,0.666,0.587,0.818
0.873,0.915,0.504,0.412
0.875,0.906,0.499,0.433
0.957,0.515,0.292,0.985
0.779,0.344,0.665,1.145
0.91,0.968,0.425,0.252
0.567,1.0,0.93,0.0
0.369,0.995,1.123,0.098
0.907,0.986,0.432,0.169
0.955,0.998,0.299,0.068
0.828,0.957,0.587,0.294
0.424,0.609,1.073,0.884
0.844,0.977,0.558,0.214
0.405,0.324,1.091,1.163
0.898,0.975,0.452,0.225
0.808,0.95,0.619,0.317
0.874,0.945,0.502,0.331
0.641,0.688,0.848,0.789
0.838,0.3,0.569,1.183
0.578,0.988,0.919,0.158
