orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.851,0.509,0.547,0.991
0.55,0.987,0.949,0.159
0.874,0.65,0.502,0.837
0.868,0.994,0.514,0.112
0.88,0.983,0.489,0.185
0.947,0.993,0.327,0.117
0.785,0.969,0.656,0.247
0.919,0.977,0.403,0.213
0.878,0.995,0.494,0.103
0.866,0.982,0.518,0.189
0.679,0.463,0.801,1.036
0.816,0.966,0.607,0.262
0.902,0.972,0.442,0.236
0.513,0.945,0.987,0.331
0.805,0.972,0.625,0.236
0.502,0.517,0.998,0.983
0.881,0.619,0.489,0.873
0.587,0.996,0.909,0.087
0.868,0.975,0.513,0.223
0.463,0.372,1.036,1.121
