orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.791,0.988,0.646,0.155
0.831,0.572,0.582,0.926
0.694,0.721,0.782,0.747
0.905,0.955,0.436,0.299
0.303,0.334,1.181,1.154
0.589,0.805,0.907,0.624
0.911,0.217,0.423,1.252
0.906,0.979,0.434,0.203
0.885,0.988,0.48,0.155
0.798,0.992,0.636,0.129
0.742,0.977,0.718,0.214
0.062,0.074,1.37,1.361
0.861,0.947,0.527,0.326
0.771,0.906,0.677,0.434
0.649,0.674,0.837,0.808
0.745,0.985,0.714,0.174
0.741,0.988,0.719,0.154
0.669,0.978,0.814,0.211
0.706,0.966,0.766,0.259
0.796,0.914,0.638,0.414
