orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.742,0.497,0.719,1.003
0.813,0.881,0.611,0.488
0.878,0.977,0.493,0.215
0.711,0.97,0.76,0.245
0.772,0.838,0.675,0.569
0.865,0.703,0.52,0.771
0.906,0.936,0.433,0.357
0.779,0.854,0.664,0.54
0.872,1.0,0.506,0.0
0.844,0.9,0.559,0.447
0.921,0.988,0.398,0.157
0.395,0.396,1.1,1.099
0.918,0.989,0.404,0.147
0.826,0.984,0.589,0.18
0.567,0.276,0.931,1.203
0.785,0.989,0.656,0.148
0.896,0.928,0.456,0.379
0.292,0.987,1.19,0.16
0.943,0.303,0.338,1.18
0.803,0.97,0.627,0.244
