orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.673,0.9,0.809,0.446
0.703,0.879,0.771,0.492
0.423,0.588,1.074,0.907
0.307,0.938,1.177,0.353
0.783,0.973,0.658,0.234
0.848,0.96,0.551,0.282
0.639,0.926,0.85,0.384
0.905,0.981,0.437,0.197
0.392,0.196,1.103,1.268
0.697,0.978,0.779,0.211
0.554,0.401,0.944,1.095
0.329,0.918,1.158,0.405
0.859,0.935,0.531,0.362
0.601,0.972,0.894,0.235
0.83,0.918,0.583,0.405
0.659,0.96,0.826,0.283
0.914,0.974,0.415,0.228
0.716,0.928,0.753,0.38
0.241,0.139,1.232,1.312
0.52,0.555,0.98,0.943
