orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.429,0.398,1.069,1.097
0.706,0.963,0.767,0.27
0.239,0.39,1.234,1.105
0.219,0.502,1.249,0.998
0.878,0.914,0.493,0.414
0.545,0.486,0.953,1.014
0.351,0.991,1.139,0.132
0.95,0.975,0.315,0.224
0.751,1.0,0.706,0.0
0.643,0.599,0.845,0.896
0.231,0.716,1.24,0.754
0.332,0.914,1.156,0.415
0.855,0.224,0.539,1.246
0.838,0.949,0.57,0.32
0.849,0.957,0.55,0.293
0.831,0.997,0.581,0.071
0.398,0.964,1.097,0.268
0.812,0.886,0.614,0.478
0.593,0.858,0.902,0.533
0.652,0.536,0.834,0.963
