orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.7,0.95,0.775,0.318
0.923,1.0,0.394,0.001
0.583,0.882,0.913,0.486
0.91,1.0,0.424,0.0
0.135,0.123,1.316,1.324
0.775,0.956,0.67,0.296
0.511,1.0,0.989,0.0
0.757,0.99,0.697,0.142
0.91,0.971,0.423,0.242
0.905,0.986,0.435,0.165
0.664,0.494,0.819,1.006
0.691,0.949,0.786,0.321
0.733,0.473,0.731,1.027
0.423,0.954,1.074,0.304
0.46,0.925,1.04,0.388
0.668,0.984,0.815,0.181
0.543,0.566,0.956,0.931
0.467,0.935,1.032,0.361
0.699,0.953,0.775,0.307
0.457,0.9,1.042,0.447
