orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.911,0.709,0.421,0.763
0.791,0.901,0.647,0.446
0.808,0.92,0.62,0.399
0.893,0.859,0.462,0.53
0.611,0.952,0.882,0.311
0.588,0.914,0.908,0.415
0.827,0.921,0.588,0.397
0.89,0.938,0.469,0.352
0.374,0.381,1.119,1.113
0.129,1.0,1.319,0.0
0.532,0.992,0.967,0.13
0.819,0.848,0.602,0.552
0.816,0.895,0.607,0.459
0.788,0.656,0.651,0.83
0.546,0.921,0.952,0.397
0.616,0.988,0.876,0.153
0.756,0.576,0.699,0.921
0.885,0.951,0.48,0.312
0.846,0.921,0.554,0.397
0.85,0.972,0.548,0.237
