orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.371,0.347,1.122,1.142
0.354,0.365,1.136,1.127
0.406,1.0,1.09,0.028
0.945,0.997,0.33,0.081
0.35,0.392,1.14,1.102
0.881,0.908,0.489,0.428
0.974,0.999,0.228,0.039
0.371,0.357,1.122,1.134
0.865,0.903,0.519,0.441
0.391,0.391,1.103,1.103
0.344,0.4,1.145,1.095
0.743,0.759,0.718,0.695
0.933,0.992,0.367,0.126
0.362,0.354,1.129,1.136
0.345,0.394,1.145,1.101
0.325,0.356,1.162,1.135
0.951,0.998,0.313,0.061
0.945,1.0,0.332,0.0
0.992,1.0,0.127,0.019
0.393,0.381,1.102,1.113
