orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.998,0.293,0.056
0.86,0.92,0.529,0.4
0.975,0.999,0.224,0.039
0.855,0.875,0.539,0.499
0.867,0.939,0.517,0.35
0.913,0.989,0.418,0.15
0.918,0.93,0.404,0.373
0.904,0.91,0.439,0.424
0.865,0.862,0.52,0.525
0.45,0.409,1.048,1.088
0.922,0.999,0.395,0.033
0.197,0.217,1.267,1.251
0.85,0.892,0.548,0.465
0.948,0.999,0.323,0.044
0.964,0.999,0.267,0.041
0.937,0.943,0.354,0.336
0.399,0.385,1.096,1.109
0.352,0.68,1.139,0.801
0.928,0.944,0.38,0.335
0.875,0.891,0.5,0.468
