orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.306,0.999,1.179,0.042
0.934,0.95,0.364,0.317
0.961,0.967,0.28,0.258
0.982,1.0,0.192,0.03
0.866,0.863,0.519,0.523
0.946,0.954,0.327,0.302
0.4,0.467,1.096,1.032
0.947,0.994,0.326,0.106
0.983,1.0,0.182,0.022
0.878,0.999,0.494,0.034
0.87,1.0,0.51,0.026
0.189,0.217,1.273,1.251
0.952,0.997,0.31,0.071
0.94,0.999,0.346,0.033
0.893,0.939,0.463,0.35
0.907,0.999,0.431,0.042
0.947,0.998,0.325,0.068
0.953,1.0,0.305,0.032
0.963,0.999,0.272,0.039
0.944,1.0,0.335,0.031
