orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.261,0.219,1.216,1.25
0.95,0.991,0.316,0.131
0.502,0.501,0.998,0.999
0.971,0.998,0.241,0.065
0.581,0.474,0.916,1.025
0.876,0.927,0.498,0.383
0.923,0.939,0.393,0.348
0.949,0.991,0.32,0.136
0.408,0.387,1.089,1.107
0.918,0.996,0.406,0.092
0.984,1.0,0.181,0.027
0.674,0.657,0.808,0.828
0.967,0.999,0.257,0.038
0.981,0.999,0.196,0.033
0.181,0.211,1.28,1.256
0.282,0.305,1.198,1.179
0.965,0.996,0.264,0.091
0.23,0.441,1.241,1.057
0.376,0.405,1.117,1.091
0.456,0.474,1.043,1.026
