orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.949,0.997,0.319,0.073
0.884,0.883,0.482,0.484
0.884,0.96,0.481,0.284
0.663,0.661,0.821,0.824
0.903,1.0,0.44,0.026
0.958,0.999,0.29,0.042
0.939,0.999,0.35,0.055
0.971,0.996,0.239,0.086
0.343,0.375,1.147,1.118
0.891,0.936,0.467,0.358
0.213,0.158,1.254,1.298
0.791,0.896,0.646,0.455
0.986,0.997,0.168,0.071
0.911,1.0,0.421,0.031
0.972,0.997,0.235,0.072
0.951,0.998,0.312,0.059
0.85,1.0,0.548,0.019
0.943,0.999,0.336,0.043
0.22,0.147,1.249,1.306
0.863,0.945,0.524,0.33
