orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.363,0.359,1.129,1.132
0.012,0.048,1.406,1.38
0.8,0.952,0.632,0.31
0.383,0.378,1.111,1.116
0.949,0.998,0.319,0.061
0.185,0.615,1.277,0.877
0.803,1.0,0.627,0.02
0.978,1.0,0.209,0.029
0.918,0.942,0.405,0.341
0.134,0.175,1.316,1.284
0.061,0.21,1.37,1.257
0.909,0.928,0.428,0.378
0.239,0.235,1.234,1.237
0.97,0.999,0.246,0.048
0.975,0.992,0.226,0.122
0.95,0.999,0.318,0.039
0.823,1.0,0.596,0.027
0.329,0.997,1.159,0.078
0.623,0.647,0.869,0.84
0.922,0.96,0.394,0.281
