orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.904,0.997,0.439,0.079
0.458,0.471,1.042,1.029
0.655,0.768,0.83,0.681
0.331,0.338,1.156,1.151
0.281,0.327,1.199,1.16
0.96,0.996,0.284,0.086
0.291,0.32,1.19,1.166
0.944,0.999,0.334,0.036
0.943,0.996,0.338,0.088
0.979,0.999,0.204,0.045
0.578,0.546,0.919,0.952
0.594,0.604,0.901,0.89
0.514,0.567,0.986,0.931
0.306,0.311,1.178,1.174
0.299,0.376,1.184,1.117
0.807,0.9,0.621,0.446
0.176,0.195,1.284,1.269
0.627,0.687,0.864,0.791
0.926,0.999,0.385,0.047
0.875,0.998,0.499,0.065
