orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.956,0.962,0.298,0.274
0.965,0.996,0.266,0.092
0.968,0.998,0.251,0.064
0.973,0.997,0.231,0.074
0.969,0.999,0.25,0.035
0.927,0.998,0.382,0.063
0.981,0.997,0.194,0.073
0.909,0.996,0.426,0.086
0.475,0.491,1.024,1.008
0.334,0.334,1.154,1.154
0.915,1.0,0.412,0.029
0.931,0.995,0.371,0.097
0.945,0.999,0.332,0.055
0.755,0.899,0.7,0.449
0.884,0.892,0.483,0.465
0.904,0.999,0.439,0.034
0.875,0.905,0.501,0.437
0.962,0.999,0.277,0.035
0.948,0.996,0.321,0.086
0.936,0.999,0.357,0.034
