orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.464,0.422,1.035,1.075
0.406,0.445,1.09,1.053
0.565,0.997,0.933,0.075
0.921,0.955,0.398,0.3
0.472,0.454,1.028,1.045
0.715,0.665,0.755,0.819
0.918,0.965,0.404,0.265
0.322,0.44,1.165,1.058
0.659,0.729,0.826,0.736
0.4,0.502,1.096,0.998
0.383,0.389,1.111,1.105
0.384,0.357,1.11,1.134
0.945,0.985,0.331,0.175
0.443,0.487,1.055,1.013
0.371,0.448,1.121,1.051
0.363,0.359,1.128,1.132
0.819,0.992,0.601,0.128
0.742,0.994,0.718,0.112
0.959,0.992,0.285,0.127
0.384,0.467,1.11,1.032
