orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.997,0.292,0.077
0.616,0.793,0.877,0.643
0.94,0.926,0.348,0.386
0.627,0.644,0.864,0.843
0.483,0.741,1.016,0.719
0.868,0.92,0.514,0.399
0.626,0.679,0.865,0.802
0.768,0.724,0.681,0.743
0.521,0.499,0.978,1.001
0.396,0.476,1.099,1.024
0.698,0.961,0.777,0.279
0.405,0.381,1.091,1.113
0.428,0.632,1.07,0.858
0.712,0.946,0.759,0.33
0.84,0.953,0.567,0.307
0.709,0.695,0.763,0.782
0.526,0.539,0.974,0.96
0.392,0.366,1.102,1.126
0.535,0.709,0.965,0.763
0.723,0.707,0.744,0.765
