orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.653,0.638,0.833,0.851
0.965,0.969,0.265,0.249
0.933,0.941,0.366,0.343
0.635,0.617,0.855,0.876
0.459,0.606,1.04,0.888
0.616,0.991,0.876,0.135
0.286,0.268,1.195,1.21
0.473,0.999,1.026,0.048
0.955,0.991,0.298,0.135
0.962,0.997,0.277,0.08
0.846,0.959,0.556,0.287
0.622,0.644,0.87,0.844
0.917,0.968,0.407,0.251
0.442,0.448,1.056,1.051
0.618,0.628,0.874,0.863
0.912,0.943,0.421,0.337
0.935,0.979,0.362,0.206
0.778,0.706,0.666,0.767
0.338,0.426,1.151,1.072
0.723,0.721,0.744,0.747
