orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.266,0.251,1.211,1.224
0.497,0.46,1.003,1.039
0.667,0.721,0.816,0.747
0.973,0.996,0.233,0.086
0.957,0.996,0.292,0.091
0.973,0.996,0.231,0.095
0.827,0.976,0.589,0.218
0.932,0.991,0.37,0.135
0.712,0.914,0.759,0.416
0.8,0.977,0.632,0.216
0.531,0.577,0.969,0.92
0.767,0.936,0.683,0.357
0.95,0.987,0.316,0.159
0.675,0.973,0.806,0.233
0.856,0.985,0.537,0.171
0.437,0.478,1.061,1.022
0.632,0.76,0.858,0.692
0.664,0.999,0.82,0.051
0.914,0.988,0.415,0.157
0.364,0.436,1.128,1.062
