orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.488,0.465,1.012,1.034
0.835,0.963,0.575,0.271
0.564,0.486,0.933,1.014
0.825,0.949,0.592,0.32
0.704,0.571,0.77,0.926
0.852,0.853,0.545,0.543
0.83,0.825,0.583,0.592
0.857,0.949,0.535,0.321
0.615,0.584,0.878,0.912
0.748,0.928,0.709,0.381
0.959,0.978,0.285,0.209
0.529,0.484,0.971,1.016
0.948,0.977,0.322,0.213
0.855,0.972,0.538,0.238
0.413,0.391,1.084,1.104
0.453,0.44,1.046,1.058
0.938,0.972,0.352,0.235
0.304,0.306,1.18,1.178
0.441,0.431,1.057,1.066
0.605,0.585,0.889,0.91
