orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.792,0.938,0.645,0.353
0.823,0.833,0.596,0.578
0.51,0.676,0.99,0.806
0.386,0.424,1.108,1.073
0.771,0.978,0.676,0.21
0.798,0.98,0.635,0.202
0.722,0.955,0.745,0.299
0.895,0.993,0.459,0.118
0.263,0.274,1.214,1.205
0.501,0.764,0.999,0.687
0.291,0.295,1.191,1.188
0.49,0.574,1.01,0.923
0.942,0.959,0.342,0.288
0.68,0.988,0.8,0.153
0.95,0.951,0.316,0.314
0.744,0.957,0.715,0.294
0.517,0.99,0.983,0.144
0.81,0.953,0.616,0.307
0.234,0.234,1.238,1.238
0.569,0.655,0.928,0.831
