orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.575,0.526,0.922,0.974
0.311,0.323,1.174,1.163
0.418,0.573,1.079,0.925
0.412,0.422,1.085,1.075
0.938,0.979,0.351,0.205
0.292,0.547,1.19,0.952
0.498,0.995,1.002,0.1
0.987,0.989,0.163,0.147
0.817,0.822,0.606,0.597
0.263,0.277,1.214,1.202
0.272,0.278,1.207,1.202
0.67,0.712,0.813,0.758
0.46,0.289,1.039,1.193
0.939,0.98,0.349,0.2
0.945,0.989,0.333,0.145
0.932,0.997,0.37,0.082
0.542,0.998,0.957,0.068
0.904,0.974,0.439,0.227
0.62,0.571,0.871,0.926
0.677,0.766,0.804,0.684
