orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.774,0.986,0.672,0.165
0.25,0.278,1.225,1.202
0.454,0.594,1.045,0.901
0.479,0.488,1.021,1.012
0.312,0.312,1.173,1.173
0.887,0.974,0.475,0.226
0.651,0.665,0.835,0.818
0.745,0.995,0.713,0.097
0.955,0.966,0.301,0.262
0.956,0.99,0.296,0.138
0.582,0.542,0.914,0.957
0.493,0.629,1.007,0.862
0.515,0.514,0.985,0.985
0.501,0.481,0.999,1.019
0.528,0.538,0.972,0.961
0.387,0.694,1.108,0.782
0.294,0.238,1.189,1.235
0.573,0.598,0.924,0.897
0.808,0.984,0.62,0.179
0.604,0.972,0.889,0.237
