orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.613,0.602,0.879,0.892
0.667,0.675,0.816,0.806
0.66,0.998,0.824,0.068
0.938,0.989,0.353,0.146
0.578,0.408,0.918,1.088
0.859,0.842,0.531,0.562
0.934,0.993,0.364,0.118
0.676,0.647,0.805,0.84
0.836,0.855,0.573,0.539
0.674,0.64,0.808,0.848
0.59,0.585,0.906,0.911
0.76,0.762,0.693,0.69
0.942,0.993,0.341,0.118
0.662,0.655,0.823,0.831
0.693,0.691,0.783,0.786
0.591,0.591,0.905,0.905
0.823,0.996,0.595,0.093
0.896,0.994,0.456,0.108
0.957,0.998,0.293,0.066
0.689,0.663,0.788,0.82
