orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.964,0.988,0.269,0.158
0.867,0.918,0.515,0.406
0.962,0.99,0.275,0.138
0.886,0.881,0.477,0.487
0.8,0.859,0.632,0.531
0.932,0.977,0.369,0.215
0.874,0.883,0.503,0.484
0.886,0.879,0.477,0.492
0.868,0.888,0.513,0.474
0.721,0.657,0.748,0.828
0.863,0.996,0.523,0.089
0.793,0.771,0.644,0.677
0.834,0.88,0.576,0.49
0.928,0.993,0.38,0.117
0.906,0.991,0.435,0.137
0.943,0.944,0.337,0.334
0.765,0.682,0.685,0.797
0.746,0.747,0.713,0.711
0.851,0.858,0.546,0.533
0.909,0.92,0.427,0.401
