orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.869,0.857,0.513,0.535
0.964,0.98,0.267,0.202
0.963,0.986,0.272,0.165
0.925,0.917,0.387,0.408
0.855,0.863,0.538,0.523
0.808,0.996,0.62,0.091
0.692,0.635,0.784,0.854
0.805,0.999,0.625,0.037
0.977,0.999,0.215,0.041
0.985,1.0,0.173,0.031
0.921,0.995,0.397,0.096
0.866,0.901,0.517,0.444
0.954,0.996,0.303,0.085
0.749,0.731,0.708,0.733
0.849,0.846,0.55,0.555
0.961,0.99,0.281,0.141
0.957,0.986,0.293,0.167
0.873,0.891,0.505,0.467
0.713,0.662,0.758,0.822
0.908,0.906,0.429,0.435
