orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.663,0.998,0.821,0.065
0.911,0.912,0.423,0.42
0.939,0.949,0.349,0.32
0.98,0.994,0.201,0.11
0.839,0.897,0.568,0.454
0.918,0.943,0.406,0.337
0.785,0.797,0.656,0.637
0.961,0.993,0.278,0.121
0.972,1.0,0.236,0.027
0.876,0.999,0.498,0.048
0.863,0.996,0.523,0.084
0.652,0.664,0.835,0.819
0.935,0.993,0.36,0.117
0.896,0.994,0.457,0.107
0.914,0.999,0.414,0.047
0.916,0.998,0.411,0.061
0.899,0.996,0.45,0.092
0.941,0.998,0.342,0.069
0.91,0.995,0.424,0.095
