orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.756,0.736,0.698,0.727
0.943,0.982,0.338,0.187
0.744,0.725,0.716,0.741
0.95,0.996,0.316,0.091
0.81,0.689,0.616,0.788
0.873,0.898,0.504,0.452
0.913,0.922,0.417,0.394
0.95,0.982,0.316,0.188
0.814,0.777,0.611,0.668
0.929,0.99,0.377,0.139
0.975,0.997,0.223,0.076
0.827,0.71,0.588,0.762
0.96,0.996,0.284,0.087
0.957,0.992,0.295,0.124
0.769,0.606,0.679,0.888
0.762,0.752,0.69,0.705
0.943,0.993,0.336,0.122
0.715,0.698,0.756,0.778
0.777,0.715,0.668,0.755
0.828,0.836,0.587,0.573
