orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.869,0.985,0.513,0.173
0.929,0.935,0.377,0.36
0.807,0.918,0.621,0.406
0.823,0.827,0.596,0.589
0.9,0.996,0.448,0.084
0.937,0.998,0.354,0.063
0.902,0.995,0.444,0.095
0.936,0.994,0.358,0.108
0.675,0.654,0.806,0.831
0.896,0.915,0.456,0.411
0.605,0.592,0.889,0.903
0.853,0.895,0.543,0.459
0.974,0.997,0.229,0.081
0.885,0.997,0.479,0.071
0.973,0.993,0.233,0.115
0.925,0.995,0.387,0.103
0.835,0.998,0.574,0.063
0.925,0.995,0.388,0.102
0.696,0.687,0.78,0.791
0.893,0.923,0.463,0.392
