orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.88,0.994,0.49,0.11
0.752,0.762,0.704,0.69
0.784,0.802,0.657,0.629
0.278,0.273,1.202,1.206
0.641,0.641,0.848,0.848
0.885,0.995,0.48,0.103
0.3,0.307,1.184,1.177
0.934,0.999,0.364,0.048
0.957,0.998,0.293,0.064
0.952,0.999,0.309,0.054
0.803,0.763,0.627,0.689
0.785,0.786,0.655,0.654
0.769,0.739,0.679,0.723
0.679,0.747,0.801,0.711
0.71,0.756,0.762,0.699
0.849,0.916,0.549,0.411
0.628,0.588,0.863,0.908
0.813,0.806,0.612,0.623
0.899,0.997,0.45,0.08
0.84,0.992,0.566,0.129
