orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.217,0.203,1.251,1.263
0.163,0.202,1.294,1.264
0.299,0.982,1.184,0.188
0.744,0.861,0.716,0.528
0.277,0.296,1.202,1.186
0.528,0.473,0.971,1.026
0.855,0.948,0.539,0.324
0.161,0.225,1.296,1.245
0.314,0.448,1.171,1.051
0.261,0.302,1.215,1.182
0.202,0.197,1.263,1.267
0.149,0.111,1.305,1.333
0.782,0.924,0.661,0.39
0.198,0.319,1.266,1.167
0.14,0.185,1.311,1.277
0.099,0.205,1.342,1.261
0.561,0.976,0.937,0.22
0.601,0.989,0.894,0.146
0.868,0.981,0.513,0.193
0.075,0.208,1.36,1.258
