orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.812,0.988,0.614,0.152
0.318,0.469,1.168,1.031
0.871,0.98,0.509,0.2
0.314,0.325,1.171,1.162
0.217,0.451,1.251,1.048
0.639,0.866,0.849,0.518
0.3,0.481,1.183,1.019
0.519,0.531,0.981,0.968
0.233,0.228,1.239,1.243
0.109,0.209,1.335,1.257
0.471,0.99,1.029,0.143
0.205,0.281,1.261,1.199
0.138,0.358,1.313,1.133
0.542,0.977,0.958,0.214
0.65,0.963,0.836,0.271
0.505,0.492,0.995,1.008
0.221,0.2,1.248,1.265
0.116,0.282,1.33,1.198
0.152,0.486,1.302,1.014
0.454,0.454,1.045,1.045
