orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.407,0.448,1.089,1.051
0.913,0.934,0.417,0.363
0.89,0.869,0.468,0.512
0.427,0.437,1.07,1.061
0.268,0.298,1.21,1.185
0.315,0.984,1.171,0.179
0.178,0.147,1.282,1.307
0.286,0.995,1.195,0.103
0.825,0.977,0.592,0.215
0.891,0.998,0.466,0.061
0.721,0.944,0.747,0.336
0.376,0.411,1.118,1.085
0.751,0.954,0.706,0.305
0.207,0.298,1.259,1.185
0.34,0.369,1.149,1.123
0.824,0.92,0.594,0.4
0.829,0.892,0.585,0.465
0.61,0.578,0.883,0.919
0.102,0.15,1.34,1.304
0.404,0.463,1.092,1.036
