orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.369,0.297,1.123,1.186
0.688,0.916,0.789,0.41
0.383,0.293,1.111,1.189
0.611,0.977,0.882,0.217
0.532,0.441,0.967,1.058
0.679,0.683,0.801,0.796
0.518,0.586,0.982,0.91
0.602,0.853,0.892,0.542
0.362,0.273,1.129,1.206
0.651,0.912,0.835,0.419
0.861,0.97,0.527,0.244
0.293,0.19,1.189,1.273
0.879,0.995,0.492,0.1
0.763,0.979,0.688,0.204
0.131,0.097,1.318,1.344
0.287,0.262,1.194,1.215
0.765,0.921,0.685,0.398
0.119,0.209,1.327,1.258
0.28,0.203,1.2,1.262
0.294,0.333,1.188,1.155
