orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.384,0.335,1.11,1.153
0.081,0.081,1.356,1.356
0.155,0.344,1.3,1.145
0.142,0.161,1.31,1.295
0.843,0.953,0.56,0.307
0.107,0.41,1.336,1.086
0.274,0.997,1.205,0.074
0.928,0.979,0.379,0.206
0.669,0.731,0.814,0.733
0.059,0.029,1.372,1.394
0.085,0.113,1.352,1.332
0.288,0.376,1.193,1.117
0.225,0.101,1.245,1.341
0.856,0.955,0.537,0.302
0.818,0.957,0.603,0.294
0.785,0.996,0.656,0.089
0.336,0.965,1.153,0.265
0.797,0.902,0.638,0.442
0.393,0.458,1.102,1.041
0.303,0.525,1.181,0.974
