orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.629,0.985,0.862,0.174
0.112,0.121,1.333,1.326
0.195,0.345,1.269,1.145
0.334,0.33,1.154,1.158
0.133,0.133,1.317,1.317
0.738,0.955,0.724,0.299
0.303,0.324,1.181,1.163
0.653,0.988,0.834,0.155
0.924,0.959,0.389,0.287
0.93,0.991,0.374,0.136
0.347,0.38,1.143,1.114
0.242,0.442,1.231,1.056
0.37,0.373,1.123,1.12
0.342,0.362,1.147,1.129
0.342,0.409,1.147,1.087
0.132,0.501,1.318,0.999
0.123,0.128,1.325,1.321
0.386,0.376,1.108,1.117
0.618,0.961,0.874,0.279
0.352,0.96,1.138,0.284
