orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.347,0.3,1.143,1.183
0.211,0.282,1.256,1.199
0.418,0.969,1.079,0.249
0.792,0.862,0.645,0.526
0.267,0.299,1.211,1.184
0.563,0.561,0.935,0.937
0.845,0.942,0.557,0.339
0.21,0.266,1.257,1.212
0.444,0.471,1.055,1.029
0.303,0.288,1.18,1.194
0.272,0.299,1.207,1.184
0.151,0.149,1.303,1.305
0.855,0.95,0.538,0.317
0.25,0.336,1.225,1.152
0.234,0.346,1.238,1.144
0.187,0.197,1.275,1.267
0.652,0.979,0.834,0.203
0.672,0.977,0.811,0.217
0.923,0.949,0.392,0.321
0.205,0.357,1.261,1.134
