orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.906,0.989,0.435,0.151
0.451,0.675,1.048,0.806
0.893,0.88,0.462,0.489
0.53,0.547,0.969,0.952
0.371,0.61,1.121,0.883
0.796,0.825,0.639,0.592
0.482,0.582,1.018,0.914
0.664,0.585,0.82,0.911
0.392,0.362,1.103,1.13
0.267,0.33,1.211,1.158
0.613,0.981,0.88,0.193
0.253,0.293,1.222,1.189
0.235,0.502,1.237,0.998
0.584,0.929,0.912,0.376
0.713,0.863,0.758,0.522
0.577,0.554,0.92,0.945
0.312,0.336,1.173,1.152
0.289,0.291,1.193,1.191
0.3,0.546,1.183,0.953
0.584,0.564,0.912,0.933
