orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.533,0.534,0.966,0.966
0.873,0.915,0.504,0.412
0.875,0.906,0.499,0.433
0.509,0.515,0.991,0.985
0.323,0.344,1.163,1.145
0.408,0.968,1.088,0.252
0.295,0.184,1.188,1.278
0.369,0.995,1.123,0.098
0.907,0.986,0.432,0.169
0.955,0.998,0.299,0.068
0.755,0.957,0.699,0.294
0.424,0.477,1.073,1.023
0.844,0.977,0.558,0.214
0.267,0.324,1.211,1.163
0.496,0.493,1.004,1.007
0.808,0.95,0.619,0.317
0.874,0.945,0.502,0.331
0.637,0.662,0.852,0.823
0.213,0.3,1.255,1.183
0.578,0.578,0.919,0.918
