orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.088,0.121,1.351,1.326
0.341,0.407,1.148,1.089
0.559,0.639,0.939,0.849
0.868,0.994,0.514,0.112
0.88,0.983,0.489,0.185
0.947,0.993,0.327,0.117
0.676,0.969,0.805,0.247
0.919,0.977,0.403,0.213
0.643,0.824,0.845,0.593
0.701,0.982,0.773,0.189
0.384,0.424,1.11,1.074
0.649,0.966,0.837,0.262
0.902,0.972,0.442,0.236
0.513,0.945,0.987,0.331
0.805,0.972,0.625,0.236
0.387,0.4,1.107,1.096
0.498,0.619,1.002,0.873
0.476,0.996,1.023,0.087
0.868,0.975,0.513,0.223
0.303,0.372,1.18,1.121
