orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.532,0.988,0.967,0.155
0.537,0.551,0.963,0.948
0.691,0.716,0.786,0.753
0.905,0.955,0.436,0.299
0.303,0.334,1.181,1.154
0.589,0.796,0.907,0.638
0.248,0.217,1.226,1.252
0.906,0.979,0.434,0.203
0.885,0.988,0.48,0.155
0.76,0.992,0.693,0.129
0.372,0.977,1.12,0.214
0.062,0.074,1.37,1.361
0.726,0.947,0.741,0.326
0.771,0.906,0.677,0.434
0.49,0.533,1.01,0.966
0.745,0.985,0.714,0.174
0.741,0.988,0.719,0.154
0.669,0.978,0.814,0.211
0.706,0.966,0.766,0.259
0.688,0.914,0.79,0.414
