orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.525,0.497,0.975,1.003
0.705,0.881,0.769,0.488
0.527,0.427,0.973,1.07
0.711,0.97,0.76,0.245
0.671,0.562,0.812,0.935
0.682,0.703,0.797,0.771
0.649,0.694,0.837,0.782
0.779,0.854,0.664,0.54
0.519,0.472,0.98,1.028
0.708,0.9,0.765,0.447
0.921,0.988,0.398,0.157
0.395,0.348,1.1,1.142
0.918,0.989,0.404,0.147
0.826,0.984,0.589,0.18
0.274,0.214,1.205,1.254
0.433,0.499,1.065,1.001
0.896,0.928,0.456,0.379
0.166,0.305,1.291,1.179
0.373,0.303,1.12,1.18
0.51,0.482,0.99,1.017
