orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.429,0.398,1.069,1.097
0.131,0.144,1.318,1.308
0.239,0.39,1.234,1.105
0.219,0.213,1.249,1.255
0.878,0.914,0.493,0.414
0.112,0.486,1.333,1.014
0.351,0.991,1.139,0.132
0.95,0.975,0.315,0.224
0.73,0.77,0.735,0.679
0.095,0.12,1.345,1.327
0.083,0.103,1.355,1.34
0.332,0.459,1.156,1.04
0.252,0.126,1.223,1.322
0.838,0.949,0.57,0.32
0.849,0.957,0.55,0.293
0.829,0.997,0.585,0.071
0.398,0.964,1.097,0.268
0.812,0.886,0.614,0.478
0.458,0.575,1.041,0.922
0.422,0.536,1.075,0.963
