orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.663,0.95,0.821,0.318
0.201,0.247,1.265,1.227
0.25,0.494,1.225,1.006
0.446,0.416,1.052,1.08
0.125,0.123,1.323,1.324
0.775,0.956,0.67,0.296
0.495,0.538,1.005,0.962
0.757,0.99,0.697,0.142
0.91,0.971,0.423,0.242
0.905,0.986,0.435,0.165
0.483,0.457,1.017,1.042
0.422,0.619,1.075,0.872
0.494,0.473,1.006,1.027
0.423,0.424,1.074,1.073
0.459,0.465,1.04,1.034
0.276,0.629,1.203,0.861
0.138,0.115,1.313,1.33
0.467,0.46,1.032,1.039
0.631,0.953,0.859,0.307
0.457,0.9,1.042,0.447
