orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.986,0.998,0.165,0.063,225,22,0.461,0.923
0.99,0.999,0.141,0.034,283,17,0.425,0.93
0.989,1.0,0.15,0.028,206,2,0.422,0.957
0.945,0.997,0.33,0.081,64,4,0.259,0.941
0.989,0.999,0.15,0.045,591,47,0.27,0.92
0.978,0.999,0.208,0.054,157,9,0.333,0.897
0.974,0.999,0.228,0.039,220,2,0.273,0.935
0.989,0.999,0.146,0.036,618,25,0.318,0.951
0.986,0.999,0.166,0.039,254,15,0.301,0.917
0.976,0.998,0.218,0.067,167,13,0.373,0.871
0.989,0.999,0.151,0.035,282,17,0.306,0.959
0.98,0.999,0.199,0.045,405,33,0.396,0.887
0.933,0.992,0.367,0.126,84,4,0.28,0.917
0.953,0.998,0.308,0.059,124,4,0.205,0.95
0.971,1.0,0.239,0.0,187,8,0.323,1.0
0.991,1.0,0.138,0.021,495,24,0.346,1.0
0.978,0.998,0.208,0.061,164,9,0.375,0.857
0.973,1.0,0.233,0.0,176,8,0.281,1.0
0.992,1.0,0.127,0.019,355,6,0.416,0.94
0.987,1.0,0.158,0.03,238,10,0.375,0.942
